                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2836,                 4.8197,                 6.1333,                 1.6422,                0.91527,                0.00646,                0.00451,                0.00129,                0.05822,                 0.0135,                0.00086,                0.00024,                 3.2619,                 8.1319,                 19.767,                 2.8499,               0.074231,               0.002927,               0.002927
                      2,                 2.5389,                 5.1577,                 6.1108,                 1.8382,                0.00639,                0.14019,                0.00829,                0.00336,                0.00421,                 0.0794,                0.00515,                0.00189,                 3.0329,                 6.0761,                  11.17,                 2.3929,               0.048248,              0.0058132,              0.0058132
                      3,                 2.4388,                 4.9914,                  5.882,                 1.7695,                0.17535,                0.03951,                0.01371,                0.00565,                0.22428,                0.03262,                0.00946,                0.00386,                 2.8867,                   5.43,                  6.555,                 2.1057,               0.022206,              0.0086407,              0.0086407
                      4,                 2.3472,                 4.8586,                 5.6696,                 1.6963,                0.14211,                0.05861,                0.02114,                0.00934,                0.12531,                0.03114,                0.00919,                0.00306,                 2.7636,                 6.2442,                 7.0208,                 1.9627,              0.0098952,              0.0098952,              0.0098952
                      5,                 2.2291,                 4.6792,                  5.343,                 1.6335,                0.16692,                0.11357,                0.04509,                0.02087,                0.14576,                0.09964,                0.03678,                 0.0151,                 2.4869,                 5.1985,                 5.8379,                 1.8445,              0.0098952,              0.0098952,              0.0098952
                      6,                 2.1583,                 4.5801,                 5.1668,                 1.5829,                0.28691,                0.08386,                0.05498,                0.02799,                  0.266,                0.06739,                0.04216,                0.01963,                  2.424,                 5.0489,                 5.3225,                 1.7812,              0.0097936,              0.0097936,              0.0097936
                      7,                 2.1024,                   4.51,                 5.0627,                 1.5485,                0.22433,                 0.1142,                0.06755,                 0.0348,                0.19259,                0.09781,                0.05408,                0.02538,                 2.3521,                 4.8831,                 5.2279,                 1.7062,               0.009692,               0.009692,               0.009692
                      8,                  2.077,                 4.4085,                  4.905,                 1.5219,                0.14855,                0.09196,                0.05654,                0.02914,                0.13502,                0.07855,                0.04634,                0.02025,                 2.3791,                 5.0779,                 5.5831,                 1.7853,              0.0095904,              0.0095904,              0.0095904
                      9,                 2.0192,                 4.3923,                 4.7861,                 1.4898,                0.24504,                0.14779,                0.10243,                0.05577,                0.23377,                0.13213,                0.08944,                0.04409,                 2.2721,                 4.7855,                 4.8555,                 1.6438,              0.0094888,              0.0094888,              0.0094888
                     10,                 2.0272,                 4.3306,                 4.7877,                 1.4938,                0.23035,                0.14196,                0.09739,                0.05143,                0.20101,                0.12365,                0.08278,                0.04147,                 2.2794,                  4.688,                 4.8932,                 1.6397,              0.0093872,              0.0093872,              0.0093872
                     11,                 1.9624,                 4.2419,                 4.5827,                 1.4578,                0.29978,                0.15191,                0.11037,                0.06085,                0.27817,                0.13501,                0.09455,                0.04837,                 2.2008,                 4.6515,                 4.7775,                 1.6281,              0.0092856,              0.0092856,              0.0092856
                     12,                 1.9602,                 4.2142,                 4.5528,                 1.4494,                 0.2796,                0.14486,                0.11403,                 0.0644,                0.23453,                0.12812,                0.09557,                0.05144,                 2.1993,                 4.5429,                 4.5724,                 1.6206,              0.0091839,              0.0091839,              0.0091839
                     13,                  1.926,                 4.1307,                 4.4333,                 1.4349,                0.32123,                0.15353,                 0.1227,                0.07345,                0.29966,                0.13278,                0.10967,                0.06056,                 2.1298,                 4.5221,                 4.5017,                 1.5455,              0.0090823,              0.0090823,              0.0090823
                     14,                 1.8926,                 4.1254,                 4.3834,                 1.4142,                0.28709,                0.15059,                0.11581,                0.06662,                0.26073,                0.13643,                0.09856,                0.05087,                 2.1573,                 4.5347,                  4.652,                  1.577,              0.0089807,              0.0089807,              0.0089807
                     15,                 1.8909,                 4.1013,                 4.3571,                 1.4108,                0.30187,                0.16987,                 0.1342,                0.07919,                0.28788,                0.15875,                0.12201,                 0.0657,                 2.1343,                 4.3246,                 4.3825,                 1.5354,              0.0088791,              0.0088791,              0.0088791
                     16,                 1.8712,                 4.0502,                 4.2611,                 1.4009,                0.34785,                0.17722,                0.14577,                0.08655,                0.32343,                0.15962,                0.12894,                0.07153,                 2.0781,                 4.3058,                 4.3183,                 1.5192,              0.0087775,              0.0087775,              0.0087775
                     17,                 1.8607,                 4.0089,                 4.1798,                 1.3793,                0.31533,                0.17873,                0.14269,                0.08345,                0.28943,                0.15922,                0.12569,                0.06585,                 2.1133,                 4.4368,                 4.2513,                 1.5073,              0.0086759,              0.0086759,              0.0086759
                     18,                 1.8457,                 3.9602,                 4.1151,                 1.3735,                0.33171,                0.19256,                0.14731,                0.09008,                0.33214,                0.16827,                 0.1334,                0.07144,                  2.052,                 4.3484,                 4.3379,                 1.4834,              0.0085743,              0.0085743,              0.0085743
                     19,                 1.8329,                 3.9385,                 4.1277,                 1.3722,                0.34863,                   0.18,                0.15625,                 0.0953,                0.34904,                0.15886,                0.14059,                 0.0782,                 2.0561,                  4.327,                  4.133,                 1.4802,              0.0084727,              0.0084727,              0.0084727
                     20,                  1.816,                 3.9202,                 4.0643,                 1.3597,                0.34067,                0.18912,                 0.1599,                 0.0965,                0.32463,                0.17733,                0.14744,                0.08083,                 2.0575,                 4.2437,                 4.1645,                 1.4792,              0.0083711,              0.0083711,              0.0083711
                     21,                 1.8166,                 3.9189,                 4.0202,                 1.3561,                0.34896,                0.20825,                 0.1744,                0.10961,                0.32296,                0.18638,                0.15335,                0.08786,                 2.0077,                 4.2794,                 4.0509,                 1.4702,              0.0082695,              0.0082695,              0.0082695
                     22,                 1.7916,                 3.9473,                 3.9511,                 1.3399,                0.37168,                0.20772,                0.17434,                0.11345,                 0.3652,                0.18888,                 0.1558,                0.09175,                 1.9519,                 4.2177,                 4.0063,                 1.4182,              0.0081679,              0.0081679,              0.0081679
                     23,                 1.7717,                  3.858,                 3.8762,                 1.3341,                0.39445,                0.20482,                0.18122,                0.11122,                0.37274,                0.18408,                0.16174,                 0.0908,                 1.9589,                  4.143,                 3.8557,                 1.4376,              0.0080663,              0.0080663,              0.0080663
                     24,                 1.7631,                 3.8722,                 3.8257,                 1.3235,                0.37236,                 0.2064,                0.18132,                0.11325,                0.34708,                0.19446,                0.16398,                0.09516,                 1.9466,                 4.1827,                 3.8447,                 1.3977,              0.0079647,              0.0079647,              0.0079647
                     25,                 1.7525,                 3.7967,                 3.7834,                 1.3201,                  0.408,                0.21794,                0.20449,                0.12779,                0.38245,                0.20424,                0.18796,                0.10618,                 1.9384,                 4.1297,                 3.6953,                 1.4133,              0.0078631,              0.0078631,              0.0078631
                     26,                 1.7222,                 3.7384,                  3.739,                   1.31,                0.43409,                0.22174,                0.21607,                0.14313,                0.40221,                0.20646,                0.19507,                0.11553,                 1.8642,                 4.0368,                 3.5889,                 1.3719,              0.0077615,              0.0077615,              0.0077615
                     27,                 1.7129,                 3.7312,                 3.6494,                  1.299,                0.42085,                0.21827,                0.20259,                0.13331,                0.39555,                0.20256,                0.18339,                0.10814,                 1.8587,                 4.0365,                 3.6583,                 1.3643,              0.0076599,              0.0076599,              0.0076599
                     28,                 1.7064,                 3.7318,                 3.5988,                 1.2942,                0.42952,                0.22741,                0.21627,                0.14405,                0.42462,                0.21256,                0.20157,                0.11831,                 1.8674,                 4.0399,                  3.642,                 1.3632,              0.0075583,              0.0075583,              0.0075583
                     29,                 1.6974,                 3.7441,                 3.6017,                 1.2946,                0.35779,                0.22221,                  0.197,                0.12723,                0.34432,                0.20696,                0.18266,                0.10651,                 1.9088,                 4.0692,                 3.7453,                  1.373,              0.0074567,              0.0074567,              0.0074567
                     30,                 1.7136,                 3.7295,                 3.5593,                 1.2893,                0.43045,                0.22795,                0.21469,                0.13936,                0.41411,                0.21622,                0.19897,                0.11395,                 1.8757,                 4.0287,                 3.5834,                  1.366,              0.0073551,              0.0073551,              0.0073551
                     31,                 1.6912,                 3.6963,                 3.5062,                 1.2792,                0.46183,                0.23011,                 0.2286,                0.15438,                0.43413,                0.21866,                0.20926,                0.12328,                  1.865,                 4.0086,                 3.5504,                 1.3637,              0.0072534,              0.0072534,              0.0072534
                     32,                 1.6818,                 3.6778,                 3.5018,                 1.2764,                0.42286,                0.22545,                0.21743,                0.14473,                0.43391,                 0.2034,                0.20162,                0.11534,                 1.8605,                 4.0134,                 3.5444,                 1.3689,              0.0071518,              0.0071518,              0.0071518
                     33,                 1.6498,                  3.634,                 3.4564,                 1.2619,                0.46114,                0.24666,                0.23569,                0.15601,                0.43119,                0.23224,                0.21792,                0.12694,                 1.8205,                 3.9311,                 3.3992,                 1.3345,              0.0070502,              0.0070502,              0.0070502
                     34,                 1.6732,                 3.6705,                 3.4699,                 1.2654,                0.46779,                0.23404,                0.22884,                0.14796,                0.43195,                0.21477,                0.20241,                0.11838,                 1.8515,                  3.974,                 3.5402,                 1.3562,              0.0069486,              0.0069486,              0.0069486
                     35,                 1.6486,                 3.6021,                 3.3796,                 1.2612,                0.45076,                 0.2445,                0.23562,                0.15703,                0.42662,                0.22664,                0.21485,                0.12451,                 1.8384,                 3.9193,                 3.3652,                   1.34,               0.006847,               0.006847,               0.006847
                     36,                 1.6575,                 3.6105,                 3.4075,                 1.2579,                0.50356,                0.24124,                0.24504,                0.16501,                0.47544,                0.22617,                0.22307,                0.13493,                 1.8001,                 3.8555,                 3.3454,                 1.3151,              0.0067454,              0.0067454,              0.0067454
                     37,                 1.6298,                 3.5501,                 3.3298,                 1.2488,                0.47854,                0.24951,                0.25099,                0.16995,                0.45357,                0.23559,                0.22973,                0.13697,                 1.7792,                 3.8498,                 3.2369,                 1.3065,              0.0066438,              0.0066438,              0.0066438
                     38,                 1.6507,                 3.6131,                 3.3036,                 1.2544,                0.50095,                0.26099,                0.26486,                0.18085,                0.47441,                0.24343,                0.24067,                0.14555,                 1.7545,                 3.8006,                 3.2229,                 1.2962,              0.0065422,              0.0065422,              0.0065422
                     39,                 1.6196,                 3.5701,                 3.2703,                  1.235,                0.55145,                0.24518,                0.26392,                0.18062,                 0.5191,                0.23398,                0.24334,                0.14899,                 1.7395,                 3.7885,                 3.1736,                 1.2894,              0.0064406,              0.0064406,              0.0064406
                     40,                 1.6019,                 3.5028,                 3.2168,                 1.2321,                0.49985,                0.25321,                0.26686,                0.18581,                0.47902,                0.23836,                0.24444,                0.14701,                 1.7347,                  3.862,                 3.1934,                 1.2787,               0.006339,               0.006339,               0.006339
                     41,                 1.5938,                 3.5118,                 3.1785,                 1.2303,                0.49242,                0.27363,                0.27514,                0.19184,                0.48369,                0.25089,                0.25236,                0.15475,                  1.724,                 3.7726,                 3.0879,                 1.2812,              0.0062374,              0.0062374,              0.0062374
                     42,                 1.5712,                 3.4516,                 3.1364,                 1.2226,                 0.5074,                0.26466,                0.27299,                0.18709,                0.49418,                0.24781,                0.25426,                0.15459,                 1.7278,                  3.774,                 3.0704,                 1.2878,              0.0061358,              0.0061358,              0.0061358
                     43,                 1.5694,                 3.4451,                 3.1378,                 1.2116,                0.49178,                0.28034,                0.28156,                0.19418,                0.49517,                0.25503,                0.26142,                0.15882,                 1.7022,                 3.7418,                 3.0054,                 1.2587,              0.0060342,              0.0060342,              0.0060342
                     44,                 1.5813,                 3.4552,                  3.092,                 1.2136,                0.51148,                0.27391,                 0.2766,                0.19078,                0.49262,                0.25768,                0.25731,                0.15289,                 1.7102,                 3.7592,                 3.0286,                 1.2647,              0.0059326,              0.0059326,              0.0059326
                     45,                 1.5428,                 3.4038,                 3.0383,                 1.2046,                0.55058,                0.26599,                0.27942,                0.19203,                0.52802,                0.25217,                0.26207,                0.15688,                 1.6839,                 3.7501,                 3.0319,                 1.2557,               0.005831,               0.005831,               0.005831
                     46,                 1.5693,                 3.4233,                 3.0363,                 1.2086,                0.54834,                0.27724,                0.29389,                 0.2077,                0.53512,                 0.2632,                0.27798,                0.17109,                 1.6797,                 3.6989,                 2.9233,                 1.2516,              0.0057294,              0.0057294,              0.0057294
                     47,                 1.5308,                 3.3739,                 2.9566,                 1.1918,                0.61942,                0.27217,                0.30104,                0.21163,                0.58164,                0.26175,                0.28293,                0.17555,                 1.6694,                 3.6672,                 2.8562,                 1.2404,              0.0056278,              0.0056278,              0.0056278
                     48,                 1.5398,                 3.4083,                  2.955,                  1.199,                0.54314,                0.27941,                0.29038,                 0.2021,                0.52879,                0.26344,                0.27179,                0.16457,                 1.6825,                 3.6866,                 2.9143,                 1.2522,              0.0055262,              0.0055262,              0.0055262
                     49,                 1.5378,                 3.3672,                 2.9683,                 1.1962,                 0.5675,                0.29781,                0.31137,                 0.2245,                 0.5542,                0.27866,                0.28951,                0.18056,                 1.6201,                 3.6297,                 2.7636,                 1.2105,              0.0054246,              0.0054246,              0.0054246
                     50,                 1.5131,                 3.3617,                 2.8938,                 1.1838,                0.58765,                   0.28,                0.30532,                0.21834,                0.55815,                0.26874,                0.28509,                0.17715,                 1.6264,                 3.6427,                 2.7798,                 1.2208,              0.0053229,              0.0053229,              0.0053229
                     51,                 1.5045,                 3.3486,                 2.8681,                  1.177,                0.59298,                0.29202,                0.31355,                0.22347,                0.56628,                0.28114,                0.29576,                0.18133,                  1.627,                 3.5716,                 2.7459,                 1.2198,              0.0052213,              0.0052213,              0.0052213
                     52,                 1.5292,                 3.3555,                 2.8298,                 1.1786,                 0.6053,                0.30153,                0.32583,                0.23473,                0.59389,                0.28269,                0.30587,                0.18974,                 1.6024,                 3.5795,                 2.7043,                 1.2087,              0.0051197,              0.0051197,              0.0051197
                     53,                 1.4917,                 3.3247,                  2.808,                 1.1649,                0.60919,                0.29051,                0.31738,                 0.2275,                0.60585,                0.27708,                0.30034,                0.18655,                 1.6186,                  3.585,                 2.7189,                 1.2144,              0.0050181,              0.0050181,              0.0050181
                     54,                 1.4797,                  3.274,                 2.7595,                 1.1695,                 0.6117,                0.29696,                0.32137,                0.23108,                0.59385,                0.28762,                0.30585,                  0.191,                 1.6004,                 3.5637,                   2.67,                 1.1992,              0.0049165,              0.0049165,              0.0049165
                     55,                 1.4852,                 3.3007,                 2.7292,                 1.1632,                0.62014,                0.30146,                0.32779,                0.23492,                0.59036,                0.28512,                0.30401,                0.19156,                 1.5877,                 3.5605,                  2.621,                 1.1961,              0.0048149,              0.0048149,              0.0048149
                     56,                 1.4821,                 3.2711,                 2.6852,                 1.1571,                0.63961,                0.30746,                0.33876,                0.24566,                0.65441,                0.28765,                0.32179,                0.20262,                 1.5731,                  3.529,                 2.5471,                 1.1868,              0.0047133,              0.0047133,              0.0047133
                     57,                 1.4735,                 3.2793,                 2.6816,                  1.154,                0.64267,                0.30865,                0.33864,                0.24263,                0.62169,                0.29244,                0.31599,                0.19711,                 1.5795,                 3.5551,                 2.5752,                 1.1943,              0.0046117,              0.0046117,              0.0046117
                     58,                 1.4657,                 3.2758,                 2.7049,                 1.1528,                0.63407,                 0.3029,                0.33965,                0.24818,                0.61907,                0.28947,                0.32016,                0.20205,                 1.5457,                  3.531,                 2.5052,                  1.178,              0.0045101,              0.0045101,              0.0045101
                     59,                 1.4666,                 3.2371,                  2.669,                 1.1555,                0.60411,                0.31534,                0.34191,                0.24864,                0.59136,                 0.3036,                0.32389,                0.20342,                 1.5472,                 3.5271,                 2.5457,                 1.1724,              0.0044085,              0.0044085,              0.0044085
                     60,                 1.4471,                 3.2053,                 2.6001,                 1.1393,                0.65161,                0.31666,                0.35287,                0.25737,                0.64336,                0.30275,                0.33255,                0.20852,                  1.544,                 3.4986,                 2.4779,                 1.1745,              0.0043069,              0.0043069,              0.0043069
                     61,                 1.4384,                 3.1853,                 2.5856,                 1.1385,                0.63635,                0.31788,                0.35026,                0.25693,                0.65163,                0.29891,                 0.3318,                0.20805,                 1.5355,                 3.4823,                  2.461,                 1.1626,              0.0042053,              0.0042053,              0.0042053
                     62,                 1.4407,                 3.2332,                  2.558,                 1.1386,                0.65517,                0.31975,                0.35171,                0.25845,                0.64005,                 0.3027,                0.33119,                0.20928,                 1.5424,                 3.4712,                 2.4521,                 1.1687,              0.0041037,              0.0041037,              0.0041037
                     63,                 1.4105,                  3.177,                  2.522,                 1.1277,                0.65962,                0.33061,                0.36446,                0.26807,                0.62958,                0.31736,                0.34449,                0.21985,                 1.4981,                 3.4434,                  2.382,                 1.1434,              0.0040021,              0.0040021,              0.0040021
                     64,                  1.435,                 3.1997,                 2.5318,                 1.1313,                0.67297,                0.33279,                0.36353,                0.26958,                0.66567,                0.31368,                0.34273,                0.21852,                 1.5082,                  3.433,                 2.4249,                 1.1527,              0.0039005,              0.0039005,              0.0039005
                     65,                 1.4071,                 3.1214,                 2.4882,                 1.1221,                0.66547,                0.32532,                 0.3623,                0.26913,                0.63904,                0.31441,                0.34375,                0.21928,                 1.5109,                  3.445,                 2.3959,                 1.1517,              0.0037989,              0.0037989,              0.0037989
                     66,                 1.4049,                 3.1422,                 2.4478,                 1.1227,                 0.6697,                 0.3381,                 0.3698,                0.27656,                0.66597,                0.32193,                0.35179,                0.22574,                 1.4775,                 3.4162,                 2.3317,                 1.1361,              0.0036973,              0.0036973,              0.0036973
                     67,                 1.4094,                 3.1551,                 2.4578,                 1.1189,                 0.6894,                 0.3239,                0.36792,                0.27501,                 0.6589,                 0.3126,                0.34671,                0.22203,                 1.4851,                 3.4402,                 2.3361,                 1.1421,              0.0035957,              0.0035957,              0.0035957
                     68,                 1.3786,                  3.089,                 2.3947,                 1.1092,                0.69024,                0.34488,                0.37849,                0.28347,                0.66651,                0.33404,                0.36085,                0.23005,                 1.4532,                 3.3861,                 2.2619,                  1.126,              0.0034941,              0.0034941,              0.0034941
                     69,                 1.3922,                 3.1311,                 2.3792,                  1.109,                0.67708,                0.33934,                0.37642,                0.27991,                 0.6598,                0.32177,                0.35487,                0.23161,                 1.4635,                  3.393,                   2.27,                 1.1264,              0.0033924,              0.0033924,              0.0033924
                     70,                   1.38,                 3.0827,                 2.3653,                 1.1048,                0.66191,                 0.3407,                0.37246,                0.28105,                0.65374,                0.32372,                  0.351,                0.22796,                 1.4482,                 3.3778,                 2.2656,                  1.123,              0.0032908,              0.0032908,              0.0032908
                     71,                 1.3768,                 3.0792,                 2.3473,                  1.101,                 0.7243,                0.33846,                0.37681,                0.28371,                0.69912,                0.32969,                0.36048,                0.23304,                 1.4565,                 3.3626,                 2.2454,                 1.1264,              0.0031892,              0.0031892,              0.0031892
                     72,                 1.3617,                 3.0478,                 2.3288,                 1.0928,                 0.7175,                0.33951,                0.38458,                0.28898,                0.69832,                0.32739,                0.36348,                0.23669,                 1.4325,                 3.3417,                  2.204,                 1.1082,              0.0030876,              0.0030876,              0.0030876
                     73,                 1.3652,                 3.0473,                 2.2873,                 1.0985,                 0.7379,                0.35177,                0.39077,                0.29765,                0.71046,                0.34126,                0.37066,                0.24122,                 1.4079,                 3.3321,                 2.1675,                 1.0985,               0.002986,               0.002986,               0.002986
                     74,                 1.3378,                 3.0211,                 2.2427,                 1.0885,                0.73865,                0.34778,                0.39296,                0.29701,                0.71472,                0.33676,                 0.3717,                0.24183,                 1.4136,                 3.3265,                 2.1391,                 1.0982,              0.0028844,              0.0028844,              0.0028844
                     75,                 1.3644,                 3.0708,                 2.2732,                 1.0897,                0.70311,                0.35051,                0.39049,                0.29655,                0.69789,                0.33425,                0.36946,                0.24145,                 1.4143,                 3.3195,                 2.1434,                 1.1048,              0.0027828,              0.0027828,              0.0027828
                     76,                 1.3325,                 3.0147,                 2.2233,                 1.0782,                0.75354,                0.34651,                0.39399,                0.30067,                0.72612,                0.33532,                0.37263,                0.24274,                 1.4017,                 3.3053,                  2.132,                 1.0965,              0.0026812,              0.0026812,              0.0026812
                     77,                 1.3351,                 3.0139,                 2.2273,                  1.081,                0.70348,                0.36651,                0.39967,                 0.3019,                0.68614,                0.34957,                0.37575,                0.24574,                 1.3986,                 3.2936,                 2.1291,                 1.0963,              0.0025796,              0.0025796,              0.0025796
                     78,                 1.3175,                 2.9928,                  2.214,                 1.0718,                0.76203,                0.35165,                0.39859,                0.30414,                0.73991,                0.33982,                0.37711,                0.24429,                  1.402,                 3.2888,                 2.1032,                 1.0914,               0.002478,               0.002478,               0.002478
                     79,                 1.3221,                  2.972,                 2.1546,                 1.0742,                0.71679,                  0.365,                0.40291,                0.30868,                0.69068,                0.34925,                0.38002,                0.24731,                 1.3796,                 3.2853,                 2.0844,                 1.0837,              0.0023764,              0.0023764,              0.0023764
