                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5494,                  3.416,                 2.7601,                 1.0979,                0.52489,                0.22708,                0.23824,                0.15936,                0.51075,                0.21013,                0.21551,                0.12527,                 1.8553,                 3.9695,                 3.2259,                 1.1962,               0.074343,              0.0029143,              0.0029143
                      2,                   1.53,                 3.2996,                 2.6989,                 1.0834,                0.55796,                0.26726,                0.27331,                0.18704,                0.54296,                0.25181,                0.25204,                0.14774,                 1.6866,                 3.7137,                 2.7011,                 1.1271,               0.048401,              0.0058479,              0.0058479
                      3,                 1.5399,                 3.3509,                 2.6822,                  1.086,                0.52781,                 0.2537,                0.26627,                0.17852,                0.50501,                0.24231,                0.24997,                0.14577,                 1.7412,                 3.7434,                 2.9029,                 1.1416,               0.022448,              0.0087698,              0.0087698
                      4,                 1.5602,                  3.356,                 2.8554,                 1.0999,                0.50797,                0.23784,                0.24332,                0.16039,                0.47174,                0.22384,                0.22183,                0.12821,                 1.7822,                 3.8408,                 3.0842,                 1.1826,               0.010139,               0.010139,               0.010139
                      5,                 1.5875,                 3.4131,                 2.8651,                 1.1148,                0.48423,                0.24444,                0.23704,                0.15761,                 0.4731,                 0.2233,                0.21759,                0.12309,                 1.7917,                  3.873,                 3.0578,                 1.1807,               0.010139,               0.010139,               0.010139
                      6,                 1.5796,                 3.3932,                 2.8378,                 1.0995,                0.53694,                0.25087,                0.25059,                 0.1671,                0.50966,                0.23952,                0.23315,                0.13332,                 1.7844,                 3.8475,                 2.9192,                 1.1553,               0.010119,               0.010119,               0.010119
                      7,                 1.5766,                 3.3992,                 2.8261,                 1.1079,                0.44598,                0.18837,                0.18722,                0.12176,                0.49546,                0.16091,                0.17014,                 0.1001,                 1.9384,                 4.1363,                 3.6771,                 1.2535,               0.010098,               0.010098,               0.010098
                      8,                 1.6016,                 3.4022,                 2.8083,                 1.1122,                 0.4599,                0.22473,                0.22723,                0.14867,                0.43872,                0.20628,                0.20668,                0.11347,                 1.8484,                  4.059,                 3.4162,                 1.2201,               0.010078,               0.010078,               0.010078
                      9,                 1.5614,                  3.382,                 2.7932,                  1.102,                0.51244,                0.25546,                0.26342,                0.17685,                0.50823,                0.24107,                0.24634,                0.14174,                 1.6989,                 3.7147,                 2.9796,                  1.133,               0.010058,               0.010058,               0.010058
                     10,                 1.5785,                 3.4227,                 2.8103,                 1.1052,                0.42275,                0.21893,                 0.1982,                0.12709,                0.39564,                0.19482,                0.17409,                 0.0941,                 1.8901,                  4.237,                 3.6185,                 1.2431,               0.010037,               0.010037,               0.010037
                     11,                 1.5706,                 3.3819,                 2.7342,                 1.0951,                0.52672,                0.24834,                0.25462,                0.16974,                0.49999,                0.23668,                 0.2367,                0.13982,                 1.7799,                 3.7934,                 3.0341,                  1.182,               0.010017,               0.010017,               0.010017
                     12,                 1.5519,                 3.3412,                 2.7173,                 1.0907,                0.52411,                0.25114,                0.26017,                0.17474,                0.51565,                0.23257,                0.24143,                0.13508,                 1.7397,                 3.8263,                  2.949,                 1.1569,              0.0099968,              0.0099968,              0.0099968
                     13,                 1.5133,                 3.2812,                 2.6739,                 1.0852,                0.50749,                0.26079,                0.26477,                0.17973,                 0.5125,                0.24491,                 0.2491,                0.14469,                 1.6934,                 3.6651,                 2.8419,                 1.1324,              0.0099765,              0.0099765,              0.0099765
                     14,                  1.548,                 3.3661,                 2.6936,                 1.0893,                0.58429,                0.26786,                0.29187,                0.20484,                0.57039,                0.25238,                0.27015,                0.16368,                 1.6346,                 3.6357,                 2.6172,                 1.1025,              0.0099561,              0.0099561,              0.0099561
                     15,                 1.5326,                 3.3388,                 2.6257,                 1.0799,                 0.5387,                0.25147,                0.26145,                0.17309,                0.49776,                0.23811,                 0.2382,                0.13961,                 1.7822,                 3.7666,                 2.9791,                 1.1926,              0.0099358,              0.0099358,              0.0099358
                     16,                 1.5092,                 3.3137,                 2.6181,                 1.0787,                0.56421,                0.27436,                 0.2839,                 0.1985,                 0.5372,                0.25685,                 0.2641,                0.15873,                 1.6677,                 3.6669,                 2.7473,                 1.1175,              0.0099155,              0.0099155,              0.0099155
                     17,                 1.5048,                  3.297,                 2.5711,                 1.0723,                 0.5585,                0.27842,                0.28893,                0.19682,                0.53574,                0.26467,                0.26579,                0.15364,                 1.6914,                 3.7122,                 2.8723,                 1.1098,              0.0098952,              0.0098952,              0.0098952
                     18,                 1.4929,                  3.268,                 2.5419,                 1.0647,                0.61389,                0.29156,                0.30873,                0.21797,                0.57539,                0.27956,                0.28814,                0.17314,                 1.5921,                 3.6009,                 2.5425,                 1.0719,              0.0098749,              0.0098749,              0.0098749
                     19,                 1.4782,                 3.2254,                 2.5535,                 1.0676,                0.60187,                 0.2919,                0.31616,                0.22701,                0.59784,                0.27314,                0.29778,                0.18862,                 1.5461,                 3.4791,                 2.4394,                 1.0596,              0.0098545,              0.0098545,              0.0098545
                     20,                 1.4819,                 3.2541,                 2.5537,                 1.0639,                0.64468,                0.27306,                0.30312,                0.21582,                0.63486,                0.26369,                0.28857,                0.17886,                 1.5818,                 3.5222,                 2.5006,                 1.0805,              0.0098342,              0.0098342,              0.0098342
