                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4481,                 3.5487,                 5.9467,                   1.16,                0.54673,                 0.2247,                0.23009,                0.16236,                0.54266,                0.21989,                0.22543,                0.15232,                 1.6722,                 3.5604,                 4.2885,                 1.2202,             0.00011966,             0.00011966,             0.00011966
                      2,                 1.5015,                 3.3217,                 4.2713,                 1.1694,                0.52082,                0.25314,                0.25973,                 0.1782,                0.49853,                0.24592,                0.24976,                0.16145,                 1.7144,                 3.5619,                 3.8805,                 1.2271,             0.00023885,             0.00023885,             0.00023885
                      3,                 1.5163,                 3.3094,                 4.0294,                 1.1726,                0.47108,                0.26008,                0.25694,                 0.1793,                0.44436,                0.25421,                0.24593,                0.15999,                 1.6862,                 3.6113,                 3.7205,                 1.2178,             0.00035684,             0.00035684,             0.00035684
                      4,                 1.5342,                 3.2976,                  3.865,                 1.1722,                0.48822,                0.26407,                0.26747,                 0.1791,                0.47654,                0.25511,                0.25889,                0.15892,                 1.7132,                 3.6118,                 3.5249,                 1.2404,             0.00041077,             0.00041077,             0.00041077
                      5,                  1.499,                   3.27,                 3.6605,                 1.1652,                0.54879,                 0.2694,                0.27778,                0.18785,                0.53109,                0.26193,                0.26452,                0.16939,                 1.6802,                 3.5752,                 3.4075,                 1.2357,             0.00041077,             0.00041077,             0.00041077
                      6,                 1.4849,                  3.242,                 3.5449,                 1.1562,                0.53959,                0.27962,                0.29045,                0.20079,                0.52178,                0.27134,                0.27602,                0.17168,                 1.6879,                 3.6824,                 3.2084,                 1.2157,             0.00040869,             0.00040869,             0.00040869
                      7,                 1.4766,                  3.194,                 3.4192,                 1.1451,                0.56076,                0.28904,                0.30126,                0.21165,                0.53861,                0.27594,                0.28556,                0.18066,                 1.6357,                 3.4881,                 3.0926,                 1.1922,             0.00040662,             0.00040662,             0.00040662
                      8,                 1.4527,                 3.1732,                 3.3111,                  1.134,                 0.5595,                0.28528,                0.30153,                0.21356,                0.55058,                0.27913,                0.29274,                0.18739,                 1.6123,                 3.4939,                  3.038,                 1.1775,             0.00040454,             0.00040454,             0.00040454
                      9,                 1.4391,                 3.1547,                 3.1555,                 1.1253,                0.59058,                0.31366,                0.32551,                0.22859,                0.56962,                 0.3039,                0.31354,                0.20333,                 1.6324,                 3.4317,                  2.889,                 1.1692,             0.00040246,             0.00040246,             0.00040246
                     10,                 1.4281,                 3.1368,                 3.1071,                 1.1179,                0.62589,                0.29096,                0.31983,                0.22703,                0.61754,                0.28433,                0.30677,                0.20032,                 1.5744,                 3.4961,                 2.8253,                 1.1663,             0.00040038,             0.00040038,             0.00040038
