                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1481,                 3.3071,                 2.6841,                 1.3262,                0.48442,                0.15072,                0.13985,                0.10612,                0.42658,                 0.1327,                 0.1166,                0.08025,                 1.3235,                 3.6595,                   2.46,                 1.4874,             0.00013845,             0.00013845,             0.00013845
                      2,                 1.2578,                 3.0785,                 2.4291,                 1.3816,                0.29515,                0.15428,                 0.1212,                0.08429,                0.26781,                0.13667,                0.10571,                0.06952,                 1.5264,                 3.6332,                 2.6445,                 1.6496,             0.00027608,             0.00027608,             0.00027608
                      3,                 1.3277,                 3.1407,                 2.4945,                 1.4576,                 0.2759,                0.12957,                0.09481,                0.06352,                0.27354,                0.11309,                 0.0832,                 0.0489,                 1.6139,                 3.7763,                 2.8783,                 1.7257,             0.00041233,             0.00041233,             0.00041233
                      4,                 1.3978,                 3.2306,                 2.5596,                 1.5088,                0.38644,                0.12119,                0.09652,                0.06542,                0.35643,                0.10251,                0.08007,                0.05115,                 1.6203,                 3.9729,                 2.7481,                 1.7309,             0.00041081,             0.00041081,             0.00041081
                      5,                 1.3517,                  3.202,                 2.4632,                 1.4869,                0.26988,                0.13304,                0.09801,                0.06721,                0.23845,                0.11028,                0.08119,                0.05322,                 1.6514,                 3.7724,                 2.7198,                 1.7652,             0.00041081,             0.00041081,             0.00041081
                      6,                  1.345,                 3.2285,                  2.395,                 1.4781,                0.32861,                0.12977,                 0.1084,                0.07453,                0.30597,                0.11905,                0.09694,                0.06234,                 1.5853,                 3.5087,                 2.5927,                 1.7054,             0.00040874,             0.00040874,             0.00040874
                      7,                 1.3079,                  3.102,                 2.3272,                 1.4489,                 0.3143,                 0.1398,                0.11572,                0.07766,                0.31103,                0.11849,                 0.1008,                0.06426,                 1.6153,                 3.6008,                 2.5531,                 1.7169,             0.00040668,             0.00040668,             0.00040668
                      8,                 1.2865,                 3.0524,                  2.259,                 1.4463,                0.35313,                0.14732,                0.12778,                0.08771,                0.34673,                 0.1288,                0.10849,                0.06892,                 1.6118,                 3.6024,                 2.4903,                 1.7085,             0.00040462,             0.00040462,             0.00040462
                      9,                 1.2601,                 2.9469,                 2.1842,                 1.4116,                0.32936,                0.14989,                0.12038,                0.08429,                0.32396,                0.13029,                0.10637,                0.06645,                  1.525,                  3.465,                  2.483,                 1.6541,             0.00040255,             0.00040255,             0.00040255
                     10,                 1.2318,                 2.9932,                 2.1307,                 1.4008,                0.34795,                0.15245,                 0.1281,                0.08856,                0.31285,                0.13215,                0.10931,                0.07331,                 1.5632,                 3.6752,                 2.5245,                 1.6867,             0.00040049,             0.00040049,             0.00040049
                     11,                 1.2155,                 2.9102,                 2.0918,                 1.3904,                0.33852,                 0.1505,                0.12016,                0.08444,                0.30118,                0.13195,                0.10257,                0.06814,                 1.4609,                 3.5562,                 2.3712,                 1.6173,             0.00039842,             0.00039842,             0.00039842
                     12,                 1.1904,                 2.8293,                 2.0133,                 1.3647,                0.34874,                0.15327,                0.13458,                0.09577,                0.30503,                0.13719,                0.11767,                0.07779,                 1.4615,                 3.4944,                 2.3918,                 1.5865,             0.00039636,             0.00039636,             0.00039636
                     13,                 1.1649,                 2.8237,                 1.9695,                 1.3615,                0.35107,                0.15133,                0.13556,                0.09973,                0.36134,                0.13115,                0.11857,                0.07923,                 1.4553,                 3.5329,                  2.254,                  1.573,             0.00039429,             0.00039429,             0.00039429
                     14,                 1.1544,                  2.753,                 1.9107,                 1.3468,                0.38059,                0.15374,                0.13539,                0.09769,                0.38299,                0.12806,                0.11377,                0.07653,                 1.5074,                 3.5582,                 2.3599,                 1.6196,             0.00039223,             0.00039223,             0.00039223
                     15,                 1.1376,                  2.719,                 1.8817,                 1.3355,                0.44731,                  0.137,                 0.1358,                0.09911,                0.39631,                 0.1255,                0.11803,                 0.0804,                 1.4608,                 3.5147,                 2.2488,                 1.5954,             0.00039017,             0.00039017,             0.00039017
                     16,                 1.1346,                 2.7135,                 1.8462,                 1.3248,                0.34392,                0.15603,                0.13369,                0.09749,                0.36435,                0.13496,                0.11918,                0.08101,                 1.4826,                 3.5559,                 2.2452,                 1.6243,              0.0003881,              0.0003881,              0.0003881
                     17,                  1.137,                 2.6862,                 1.8234,                 1.3272,                0.42007,                 0.1506,                0.14007,                0.10295,                0.41504,                0.13214,                0.12373,                0.08432,                 1.4418,                 3.5159,                 2.2606,                 1.5696,             0.00038604,             0.00038604,             0.00038604
