                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2131,                 2.9665,                 3.5719,                 1.2838,                0.53458,                0.22959,                0.22768,                0.15652,                0.50967,                0.22254,                 0.2186,                0.14663,                 1.4346,                 3.0402,                 2.6608,                 1.4228,             0.00013816,             0.00013816,             0.00013816
                      2,                 1.2498,                 2.7603,                 2.5135,                 1.2936,                0.54086,                0.25683,                0.25511,                0.17549,                0.52844,                0.25191,                 0.2484,                0.16022,                 1.4328,                 3.0832,                 2.3788,                 1.4213,             0.00027579,             0.00027579,             0.00027579
                      3,                 1.2576,                 2.7788,                 2.3709,                 1.2983,                0.50093,                0.25263,                0.25091,                0.16925,                0.48063,                0.24583,                0.23955,                 0.1523,                 1.4486,                 3.1149,                 2.2756,                  1.427,             0.00041204,             0.00041204,             0.00041204
                      4,                 1.2647,                 2.7997,                 2.2635,                 1.3067,                0.48436,                0.26166,                0.25867,                0.17072,                0.46509,                0.24953,                0.24975,                0.15532,                 1.4824,                 3.1209,                 2.2199,                 1.4379,             0.00041081,             0.00041081,             0.00041081
                      5,                 1.2559,                 2.7652,                 2.1698,                 1.2937,                0.50968,                0.25946,                0.26411,                0.17373,                 0.4857,                0.25337,                0.25461,                0.15587,                  1.487,                 3.0659,                 2.1905,                 1.4225,             0.00041081,             0.00041081,             0.00041081
                      6,                 1.2365,                 2.7274,                 2.1026,                  1.282,                0.52422,                0.26692,                0.27002,                0.18285,                0.51658,                0.25758,                0.26084,                0.15998,                 1.4507,                 3.0521,                 2.1395,                 1.4116,             0.00040874,             0.00040874,             0.00040874
                      7,                 1.2187,                  2.727,                 2.0526,                 1.2679,                 0.5688,                0.27753,                0.28955,                0.19817,                 0.5712,                0.26461,                0.27633,                0.17074,                 1.4289,                  3.029,                 2.0132,                 1.3993,             0.00040668,             0.00040668,             0.00040668
                      8,                 1.2119,                 2.7024,                 1.9821,                 1.2653,                 0.5774,                0.29074,                0.30472,                0.21718,                0.56733,                0.28338,                0.29191,                0.19014,                 1.3886,                 2.9876,                 1.8477,                 1.3656,             0.00040462,             0.00040462,             0.00040462
                      9,                 1.2063,                 2.6732,                 1.9445,                 1.2654,                0.58879,                0.27909,                0.29268,                0.20321,                0.56363,                0.27151,                0.27957,                0.18099,                 1.4012,                 2.9446,                  1.901,                 1.3653,             0.00040255,             0.00040255,             0.00040255
                     10,                 1.1856,                 2.6277,                  1.866,                 1.2457,                0.59335,                 0.2861,                0.30518,                0.21389,                0.56641,                0.27699,                0.29002,                 0.1852,                  1.361,                 2.9386,                 1.8115,                  1.339,             0.00040049,             0.00040049,             0.00040049
                     11,                 1.1977,                 2.6588,                 1.8573,                 1.2513,                 0.5596,                0.28874,                0.30313,                0.21015,                0.54864,                0.27976,                0.29311,                0.18821,                 1.3708,                 2.9091,                 1.8387,                 1.3429,             0.00039842,             0.00039842,             0.00039842
                     12,                 1.1785,                 2.6193,                 1.8253,                 1.2439,                0.61608,                0.27457,                0.30419,                0.21701,                0.58467,                0.26954,                 0.2912,                0.19029,                 1.3458,                 2.9187,                 1.8239,                 1.3412,             0.00039636,             0.00039636,             0.00039636
                     13,                 1.1637,                  2.577,                 1.7661,                 1.2363,                0.55358,                0.30619,                0.31402,                0.21939,                0.53214,                 0.2974,                0.30043,                 0.1937,                 1.3573,                 2.9261,                 1.7806,                 1.3343,             0.00039429,             0.00039429,             0.00039429
                     14,                 1.1628,                 2.5884,                 1.7309,                 1.2265,                0.58753,                0.31011,                0.32686,                0.23144,                0.57446,                0.30106,                0.31445,                0.20181,                 1.3431,                 2.9284,                  1.706,                 1.3299,             0.00039223,             0.00039223,             0.00039223
