                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6621,                 3.8925,                 6.4881,                 1.2672,                0.46359,                0.22866,                0.21908,                0.15211,                0.44982,                0.22096,                 0.2112,                0.13629,                 1.6823,                 3.6351,                 4.3403,                 1.2337,             0.00011966,             0.00011966,             0.00011966
                      2,                 1.6713,                 3.5764,                 4.8699,                 1.2458,                0.50477,                0.25742,                0.25108,                0.16981,                0.48604,                0.24941,                0.23849,                0.15197,                 1.6811,                 3.5945,                 3.9024,                 1.2336,             0.00021614,             0.00021614,             0.00021614
                      3,                 1.6717,                 3.4962,                  4.521,                 1.2372,                0.54855,                 0.2611,                0.27498,                0.18912,                0.55706,                0.25273,                0.26903,                0.17066,                 1.6752,                 3.5623,                 3.6602,                 1.2102,             0.00028863,             0.00028863,             0.00028863
                      4,                  1.657,                 3.4432,                 4.2052,                 1.2232,                0.57798,                0.28274,                0.29427,                0.20642,                0.54523,                0.27644,                0.28095,                0.18446,                 1.6549,                 3.4778,                 3.3722,                 1.1957,             0.00029238,             0.00029238,             0.00029238
                      5,                 1.6227,                 3.3852,                  4.037,                 1.1997,                0.56496,                  0.292,                0.30393,                0.21434,                 0.5566,                0.27998,                0.28824,                0.18861,                 1.6267,                 3.4538,                 3.2158,                 1.1814,             0.00029238,             0.00029238,             0.00029238
                      6,                 1.5748,                 3.2777,                 3.7011,                 1.1744,                0.68399,                0.29852,                0.32801,                0.23682,                 0.6603,                0.28972,                0.31416,                0.20869,                  1.592,                 3.4083,                 2.9889,                 1.1545,             0.00025085,             0.00025085,             0.00025085
                      7,                 1.5295,                  3.236,                 3.4635,                 1.1428,                0.65135,                 0.3102,                0.33998,                0.24849,                0.63851,                0.30386,                0.32864,                0.21845,                 1.5375,                 3.3349,                 2.8812,                 1.1231,             0.00020931,             0.00020931,             0.00020931
                      8,                 1.4841,                 3.1429,                 3.2713,                  1.118,                0.65601,                0.33241,                  0.363,                0.27258,                0.69456,                 0.3126,                0.35052,                0.23908,                 1.4629,                 3.2496,                 2.6585,                  1.089,             0.00016777,             0.00016777,             0.00016777
                      9,                 1.4417,                 3.0581,                 3.0462,                 1.0925,                0.68961,                0.34052,                0.37117,                0.28059,                0.69238,                0.33191,                0.35828,                0.24431,                 1.4412,                 3.1877,                  2.521,                 1.0737,             0.00012623,             0.00012623,             0.00012623
                     10,                  1.391,                 2.9753,                 2.8855,                 1.0726,                 0.7271,                0.34306,                0.38277,                0.29417,                0.70522,                0.33564,                0.36795,                0.25567,                 1.4061,                  3.135,                 2.4131,                  1.054,             8.4691e-05,             8.4691e-05,             8.4691e-05
