fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.5238,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.518,0.01014,0.01,0.93936,0.0005,2.97315,0.79252,7.53119,0.5,1.51933,0.01506,0.70221,0.38889,0.0,0.1,0.49908,0.0,0.0,0.0,0.49037,0.99831,0.0,0.0
0.52524,0.01,0.00863,0.9045,0.00044,2.2618,0.78059,7.01799,0.47165,1.68303,0.01592,0.61353,0.36648,0.0,0.10362,0.44974,0.0,0.0,0.0,0.46894,1.0,0.0,0.0
0.50601,0.01078,0.00979,0.92292,0.00051,2.93846,0.95,8.01026,0.46132,1.40464,0.015,0.66235,0.4297,0.0,0.1,0.5582,0.0,0.0,0.0,0.5,0.92966,0.0,0.0
0.51426,0.01015,0.01021,0.937,0.00048,3.0,0.77826,7.5,0.507,1.48758,0.01468,0.69599,0.41056,0.0,0.1015,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.0
0.54293,0.01014,0.00727,0.88095,0.0005,2.89675,0.88197,8.95132,0.56005,1.6471,0.01506,0.70221,0.42517,0.0,0.1,0.34602,0.0,0.0,0.0,0.43075,0.89118,0.0,0.0
0.53556,0.00909,0.00895,0.86831,0.00047,3.37883,0.77065,8.27539,0.5354,1.7919,0.01445,0.70221,0.44405,0.0,0.10317,0.34302,0.0,0.0,0.0,0.5072,1.0,0.0,0.0
0.53877,0.0115,0.00897,0.88892,0.00051,2.89675,0.95,10.14086,0.54668,1.6471,0.01841,0.80096,0.43185,0.0,0.1,0.36802,0.0,0.0,0.0,0.39245,0.89523,0.0,0.0
0.52434,0.0115,0.00899,0.90775,0.00043,3.38955,0.95,10.23173,0.41769,1.6471,0.02105,0.60806,0.3812,0.0,0.12712,0.37984,0.0,0.0,0.0,0.4063,0.86412,0.0,0.0
0.54088,0.01266,0.01093,0.8847,0.00055,2.15725,0.95,10.14086,0.65959,1.72747,0.02,0.87978,0.43185,0.0,0.08804,0.3427,0.0,0.0,0.0,0.39245,0.9116,0.0,0.0
0.53905,0.00936,0.00905,0.85947,0.00047,3.34254,0.78744,8.20711,0.54457,1.72588,0.01459,0.70221,0.4076,0.0,0.10196,0.34199,0.0,0.0,0.0,0.50973,1.0,0.0,0.0
0.53599,0.01019,0.00727,0.86997,0.00048,2.83158,0.7154,8.46001,0.50525,1.8262,0.01351,0.9,0.44094,0.0,0.10613,0.35608,0.0,0.0,0.0,0.41922,0.87197,0.0,0.0
0.53957,0.01475,0.01134,0.80473,0.00052,3.13614,0.77564,8.20711,0.54457,1.72588,0.01406,0.77971,0.2356,0.0,0.1074,0.28547,0.0,0.0,0.0,0.55903,0.87708,0.0,0.0
0.53312,0.00998,0.00692,0.89074,0.00051,3.02033,0.9484,9.14152,0.5326,1.6471,0.01506,0.78873,0.44535,0.0,0.1,0.38173,0.0,0.0,0.0,0.39358,0.84702,0.0,0.0
0.53751,0.0062,0.00781,0.97256,0.00043,3.25827,0.66106,8.95132,0.56005,1.69342,0.01544,0.70221,0.3924,0.0,0.0978,0.3671,0.0,0.0,0.0,0.47315,0.89118,0.0,0.0
0.54887,0.01031,0.00703,0.86976,0.00046,3.22064,0.79375,8.87546,0.59324,1.65095,0.0143,0.73745,0.42517,0.0,0.1,0.30621,0.0,0.0,0.0,0.36624,0.94619,0.0,0.0
0.5545,0.01031,0.00683,0.87584,0.00046,3.22064,0.8256,8.68102,0.61381,1.72537,0.0129,0.67816,0.46399,0.0,0.1,0.36326,0.0,0.0,0.0,0.39105,0.82633,0.0,0.0
0.54596,0.01031,0.00642,0.86961,0.00047,4.07646,0.78387,8.40789,0.58092,1.93917,0.01353,0.64014,0.41983,0.0,0.09285,0.36326,0.0,0.0,0.0,0.40962,0.82633,0.0,0.0
0.5544,0.01031,0.0069,0.84253,0.00047,3.08445,0.86943,8.01426,0.60916,1.59168,0.01573,0.66628,0.38835,0.0,0.09579,0.30891,0.0,0.0,0.0,0.40505,0.89918,0.0,0.0
